date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:36	132/132	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:36%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/gtx-hiking-boot	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/gtx-hiking-boot	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:36	92543/92543	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:90666a22b78118ec4349d9cfb68f672c	https://hiking-camping-demo.myshopify.com/collections/rappel-rack	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/rappel-rack	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:37	92543/92543	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:90666a22b78118ec4349d9cfb68f672c	https://hiking-camping-demo.myshopify.com/collections/ladder-golf	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/ladder-golf	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:38	92543/92543	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:90666a22b78118ec4349d9cfb68f672c	https://hiking-camping-demo.myshopify.com/collections/paring-knife	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/paring-knife	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:38	92543/92543	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:90666a22b78118ec4349d9cfb68f672c	https://hiking-camping-demo.myshopify.com/collections/jump-rope	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/jump-rope	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:39	92543/92543	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:90666a22b78118ec4349d9cfb68f672c	https://hiking-camping-demo.myshopify.com/collections/water-proof-camera	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/water-proof-camera	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:40	92543/92543	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:90666a22b78118ec4349d9cfb68f672c	https://hiking-camping-demo.myshopify.com/collections/horseshoes	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/horseshoes	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:41	6719/6719	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:41%20GMT	https://cdn.shopify.com/s/files/1/1628/5651/products/product19_medium.jpg?v=1480481945	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/products/product19_medium7a55.jpg	(from https://hiking-camping-demo.myshopify.com/products/footwear-shoes)
14:36:42	883/883	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:8839ba8204442851de47f5bfbc9a401f	https://hiking-camping-demo.myshopify.com/products/footwear-shoes.oembed	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/products/footwear-shoes.oembed	(from https://hiking-camping-demo.myshopify.com/products/footwear-shoes)
14:36:45	58237/58237	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:42%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/products/product19.jpg?v=1480481945	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/products/product197a55.jpg	(from https://hiking-camping-demo.myshopify.com/products/footwear-shoes)
14:36:45	20030/20030	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:42%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/products/product19_large.jpg?v=1480481945	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/products/product19_large7a55.jpg	(from https://hiking-camping-demo.myshopify.com/products/footwear-shoes)
14:36:47	7426/7426	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:46%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/products/product16_medium.jpg?v=1481110607	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/products/product16_medium55bb.jpg	(from https://hiking-camping-demo.myshopify.com/products/footwear-shoes)
14:36:48	92543/92543	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:90666a22b78118ec4349d9cfb68f672c	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/POST	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/POST.290.delayed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/rappel-rack)
14:36:48	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:48%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/rappel-rack)
14:36:49	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:49%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/rappel-rack)
14:36:50	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:50%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/golden-clock)
14:36:50	58237/58237	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Aug%202021%2022:17:42%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/products/product19_1024x1024.jpg?v=1480481945	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/products/product19_1024x10247a55.jpg	(from https://hiking-camping-demo.myshopify.com/products/footwear-shoes)
14:36:51	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:50%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/golden-clock)
14:36:51	69091/69091	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:44%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/products/product16_1024x1024.jpg?v=1481110607	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/products/product16_1024x102455bb.jpg	(from https://hiking-camping-demo.myshopify.com/products/footwear-shoes)
14:36:51	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:51%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/ladder-golf)
14:36:51	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:52%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/ladder-golf)
14:36:52	5500/5500	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:52%20GMT	https://cdn.shopify.com/s/files/1/1628/5651/products/product-21_medium.jpg?v=1481107782	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/products/product-21_medium3203.jpg	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/designs-daypack)
14:36:53	853/853	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:e08e8e776647c4c7088e77f253e2c376	https://hiking-camping-demo.myshopify.com/products/designs-daypack.oembed	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/products/designs-daypack.oembed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/designs-daypack)
14:36:53	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:53%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent.299.delayed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/designs-daypack)
14:36:53	0/-1	---M--	301	error ('')			https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent.29a.delayed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/designs-daypack)
14:36:54	38563/38563	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:54%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/products/product-21.jpg?v=1481107782	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/products/product-213203.jpg	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/designs-daypack)
14:36:56	14020/14020	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:54%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/products/product-21_large.jpg?v=1481107782	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/products/product-21_large3203.jpg	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/designs-daypack)
14:36:57	0/-1	---M--	301	error ('')			https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent.2a0.delayed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/paring-knife)
14:36:57	0/-1	---M--	301	error ('')			https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent.2a1.delayed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/paring-knife)
14:36:57	0/-1	---M--	301	error ('')			https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent.2a2.delayed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/hiking-bottles-holder)
14:36:57	0/-1	---M--	301	error ('')			https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent.2a3.delayed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/hiking-bottles-holder)
14:36:57	0/-1	---M--	301	error ('')			https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent.2a4.delayed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/jump-rope)
14:36:57	0/-1	---M--	301	error ('')			https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent.2a5.delayed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/jump-rope)
14:36:57	38563/38563	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:56%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/products/product-21_1024x1024.jpg?v=1481107782	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/products/product-21_1024x10243203.jpg	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/designs-daypack)
14:36:57	0/-1	---M--	301	error ('')			https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent.2a6.delayed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling/products/water-proof-camera)
